CreatedDate,Longitude,Latitude
2016-01-05,-73.94550289,40.81030303
2016-01-05,-73.91235961,40.76034215
2016-01-05,-73.92496355,40.70053184
2016-01-05,-73.88461264,40.84522037
2016-01-05,-73.95560453,40.70007015
2016-01-05,-73.9010609,40.69734905
2016-01-05,-73.98122335,40.73080752
2016-01-05,-73.91531112,40.66479368
2016-01-05,-73.94656017,40.64978476
2016-01-05,-74.18830591,40.54113541
2016-01-06,-73.89105152,40.672008500000004
2016-01-06,-73.78225676,40.69002174
2016-01-06,-73.93828357,40.82381439
2016-01-06,-73.86680600000001,40.88074506
2016-01-06,-73.87729914,40.82459453
2016-01-06,-73.97963147,40.72128294
2016-01-06,-73.97194294,40.782999700000005
2016-01-06,-73.94235294,40.8060362
2016-01-06,-73.94179666,40.84321859
2016-01-06,-74.00058737,40.64562785
2016-01-06,-73.93199346,40.66785694
2016-01-06,-73.94697006,40.6917718
2016-01-06,-73.87733881,40.87168003
2016-01-07,-73.92768757,40.85908872
2016-01-06,-73.98460496,40.72731395
2016-01-06,-73.93662347,40.84072641
2016-01-06,-74.00340521,40.71415106
2016-01-06,-73.96189701,40.64465538
2016-01-06,-73.86541519,40.83000758
2016-01-06,-73.9289151,40.70161853
2016-01-06,-73.98027326,40.68595793
2016-01-06,-73.9451515,40.65807334
2016-01-06,-73.91443313,40.68889765
2016-01-06,-73.91670931,40.69973567
2016-01-06,-73.90688584,40.69423037
2016-01-06,-73.96387475,40.79876868
2016-01-06,-73.96243442,40.75898052
2016-01-06,-74.00340521,40.71415106
2016-01-06,-73.96283840000001,40.79833468
2016-01-06,-73.88579671,40.84394526
2016-01-06,-73.90345216,40.68221916
2016-01-06,-73.93850506,40.81482007
2016-01-06,-73.97255116,40.79667684
2016-01-06,-73.93845811,40.81480083
2016-01-06,-73.96589227,40.80164302
2016-01-06,-73.88877123,40.70129305
2016-01-06,-73.92886303,40.8315271
2016-01-06,-73.87384163,40.87778046
2016-01-06,-73.94325371,40.69006827
2016-01-06,-73.92513323,40.70038099
2016-01-06,-73.9825192,40.67372758
2016-01-06,-73.89219720000001,40.84417099
2016-01-06,-73.93024166,40.65053633
2016-01-06,-73.91443313,40.68889765
2016-01-06,-73.83874254,40.88126644
2016-01-07,-73.82791392,40.69460873
2016-01-07,-73.85433109,40.84058597
2016-01-07,-73.98360132,40.67124921
2016-01-07,-73.94717915,40.69184875
2016-01-07,-73.82224631,40.70359474
2016-01-07,-73.79251081,40.67186475
2016-01-07,-73.94874145,40.71413147
2016-01-07,-73.84509408,40.68512799
2016-01-07,-73.97497221,40.5916982
2016-01-07,-73.91837207,40.65833742
2016-01-07,-73.95919734,40.71647693
2016-01-07,-73.79041561,40.68815946
2016-01-07,-73.979966,40.72453828
2016-01-07,-73.9112649,40.68248895
2016-01-07,-73.92910926,40.69878605
2016-01-07,-73.77830625,40.59627675
2016-01-08,-73.95465491,40.78655137
2016-01-07,-73.9753741,40.75164182
2016-01-07,-73.86039743,40.84656596
2016-01-07,-73.90062183,40.87336297
2016-01-07,-73.98022151,40.7388385
2016-01-07,-73.92897159,40.83138719
2016-01-07,-73.99155664,40.76212358
2016-01-07,-73.90545239,40.85571862
2016-01-07,-73.91728332,40.65856446
2016-01-07,-74.00282511,40.72959583
2016-01-07,-73.9451515,40.65807334
2016-01-07,-73.9443532,40.83303149
2016-01-07,-73.94908905,40.64629729
2016-01-07,-73.88207804,40.67653128
2016-01-07,-73.78655462,40.69014782
2016-01-07,-73.98384646,40.74565977
2016-01-07,-73.89309085,40.85033918
2016-01-07,-73.94457448,40.79297787
2016-01-07,-74.09113218,40.64512513
2016-01-07,-73.96565442,40.70959243
2016-01-07,-73.89800037,40.83090559
2016-01-08,-73.84823193,40.83205028
2016-01-08,-73.96575072,40.80297417
2016-01-08,-73.91768767,40.77193713
2016-01-08,-73.84551626,40.87797932
2016-01-08,-73.93226292,40.69357838
2016-01-08,-73.98428512,40.73724991
2016-01-09,-73.91401945,40.68812606
2016-01-08,-73.96386163,40.80297085
2016-01-09,-73.78054828,40.7084277
2016-01-08,-73.81172025,40.70680036
2016-01-08,-73.88828723,40.86529326
2016-01-08,-73.94482766,40.82738035
2016-01-08,-73.99733058,40.71600379
2016-01-08,-73.77979373,40.66823995
2016-01-09,-73.9785212,40.66261055
2016-01-08,-73.91861045,40.8085882
2016-01-08,-73.82510292,40.58118971
2016-01-08,-73.9536685,40.6524448
2016-01-08,-73.92281609,40.82652235
2016-01-08,-73.96714106,40.80356744
2016-01-08,-73.92259267,40.65516737
2016-01-08,-73.9418119,40.71422973
2016-01-08,-73.96578522,40.67261493
2016-01-08,-73.90043359,40.85659819
2016-01-08,-73.93370026,40.75311303
2016-01-08,-73.84854272,40.83204245
2016-01-08,-73.94498003,40.81353881
2016-01-08,-73.93233178,40.66126693
2016-01-08,-73.95245577,40.67017558
2016-01-08,-73.92972171,40.85333434
2016-01-08,-73.85804611,40.83223843
2016-01-08,-73.84854272,40.83204245
2016-01-08,-73.91951458,40.73901793
2016-01-08,-73.95011614,40.65584135
2016-01-08,-73.86810486,40.84944051
2016-01-08,-73.90235052,40.8780716
2016-01-08,-73.78617196,40.59133179
2016-01-08,-73.89685599,40.82319192
2016-01-08,-73.8969687,40.82040887
2016-01-08,-73.97493566,40.7370424
2016-01-09,-73.94611196,40.7763757
2016-01-09,-73.89163459999999,40.87447746
2016-01-10,-73.85079352,40.74202078
2016-01-09,-73.90356129,40.74138812
2016-01-09,-73.96578522,40.67261493
2016-01-09,-73.94903962,40.79594698
2016-01-10,-73.92855712,40.85728874
2016-01-10,-73.94128612,40.69275716
2016-01-09,-73.85007374,40.6850193
2016-01-09,-73.96319662,40.75795149
2016-01-09,-74.19251023,40.60177504
2016-01-09,-73.88423748,40.84895554
2016-01-09,-73.91574712,40.65349648
2016-01-09,-73.93434499,40.63728692
2016-01-10,-73.94128612,40.69275716
2016-01-09,-73.88854158,40.86453597
2016-01-09,-73.93881529999999,40.827100099999996
2016-01-09,-73.94939943,40.79773122
2016-01-10,-73.94128612,40.69275716
2016-01-09,-74.03241352,40.61578468
2016-01-09,-73.96578522,40.67261493
2016-01-10,-73.93806802,40.64389843
2016-01-10,-73.96707244,40.80353723
2016-01-10,-73.99639968,40.72006876
2016-01-10,-74.00193377,40.72455099
2016-01-10,-73.9451515,40.65807334
2016-01-11,-73.90404546,40.87877841
2016-01-10,-73.91411588,40.84841625
2016-01-10,-73.9462816,40.77644715
2016-01-10,-73.90887182,40.71343983
2016-01-10,-73.91511128,40.82182072
2016-01-11,-73.94128612,40.69275716
2016-01-10,-73.95205706,40.82365351
2016-01-10,-73.91495726,40.82642624
2016-01-10,-73.98164583,40.78200532
2016-01-10,-73.87657369,40.75403213
2016-01-10,-73.98734594,40.71381556
2016-01-10,-73.96578522,40.67261493
2016-01-10,-73.95028205,40.74271329
2016-01-10,-73.91940607,40.68552517
2016-01-10,-73.81409194,40.69056065
2016-01-10,-74.11187097,40.64340231
2016-01-10,-73.79106229,40.68776264
2016-01-10,-73.85568371,40.74018803
2016-01-10,-73.90942319,40.84920588
2016-01-10,-73.97410022,40.68618452
2016-01-10,-73.94222314,40.8224029
2016-01-10,-73.95068951,40.6553942
